"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address"
"https://www.tatielou.co.uk/","text/html; charset=utf-8","200","OK","Indexable","","Tatie Lou - Buy Luxury Wallpaper, Fabrics, Cushions & Homeware","62","580","Discover the full range of luxury wallpaper, stylish fabrics &amp; sumptuous homeware from Tatie Lou - All eco-friendly &amp; made in Britain!","142","829","","0","","0","","0","Dine in Style","13","Re-Discover our Shibori Collections","35","","","","https://www.tatielou.co.uk/","","","","","","251412","179","1.038","0","","363","120","100.000","143","45","14","6","","","","","e6e4fec85517a4bcb6bceff5b1580583","0.450","","","","","HTTP/1.1","https://www.tatielou.co.uk/"
"https://www.tatielou.co.uk/pages/wall-paper-guide","text/html; charset=utf-8","200","OK","Indexable","","Wall Paper Guide – Tatie Lou","28","260","Wall Paper Guide - Non-woven wallpapers are paste the wall application.  Non-Woven Wall Covering Hanging Instructions Please read these instructions carefully before hanging this wall covering.  It is advisable that a professional decorator is used. Preparation Walls should be dry, clean and even. Remove any old wallpa","320","2017","","0","","0","Wall Paper Guide","16","","0","","0","","","","https://www.tatielou.co.uk/pages/wall-paper-guide","","","","","","192540","310","1.656","1","","122","120","100.000","110","37","10","6","","","","","bff9363f3d32ae2ca15dd21aa47197e9","0.372","","","","","HTTP/1.1","https://www.tatielou.co.uk/pages/wall-paper-guide"
"https://www.tatielou.co.uk/collections/face-masks","text/html; charset=utf-8","200","OK","Indexable","","Face Masks – Tatie Lou","22","213","Tatie Lou","9","60","","0","","0","Face Masks","10","Blue Ginkgo Face Mask","21","Black Ginkgo Face Mask","22","","","","https://www.tatielou.co.uk/collections/face-masks","","","","","","208274","61","0.860","1","","369","120","100.000","123","41","13","6","","","","","64b20d0e351aa24f19fa6ae221018431","0.438","","","","","HTTP/1.1","https://www.tatielou.co.uk/collections/face-masks"
"https://www.tatielou.co.uk/collections","text/html; charset=utf-8","200","OK","Indexable","","Collections – Tatie Lou","23","200","Discover the full range of luxury wallpaper, stylish fabrics &amp; sumptuous homeware from Tatie Lou - All eco-friendly &amp; made in Britain!","142","829","","0","","0","Collections","11","Agnes","5","All Products","12","","","","https://www.tatielou.co.uk/collections","","","","","","244990","1274","3.687","1","","482","120","100.000","170","44","10","6","","","","","72791a875e70366672deb9c4932c6d6d","0.872","","","","","HTTP/1.1","https://www.tatielou.co.uk/collections"
"https://www.tatielou.co.uk/collections/margaux","text/html; charset=utf-8","200","OK","Indexable","","Margaux – Tatie Lou","19","181","Inspired by Indian block prints this intricately hand drawn design creates a stunning ornamental pattern of paisley, botanical leaves and shapes. The classic paisley design is thought to have been a representation of a floral spray combined with a cypress tree.","261","1625","","0","","0","Margaux","7","Margaux Teal Wallpaper","22","Margaux Teal Wallpaper Sample","29","","","","https://www.tatielou.co.uk/collections/margaux","","","","","","235820","128","0.965","1","","369","120","100.000","135","47","13","6","","","","","628511cc4ff42adc7b0d1d35cb53f35","0.499","","","","","HTTP/1.1","https://www.tatielou.co.uk/collections/margaux"
"https://www.tatielou.co.uk/collections/table-linen/products/burst-forest-place-mats","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Burst Forest 100% Linen Place Mat – Tatie Lou","45","418","Design Inspiration This beautiful design was inspired by the beautiful tiles of Portugal. Using colour and pattern to style to your dinner  parties Measurements 50cm x 35cm Product Details Composition Eco-Friendly Linen fabric Care Method Wash on machine cycle at 40°C Iron on a low heat not using steam, ironing print s","320","2016","","0","","0","Burst Forest 100% Linen Place Mat","33","Start the conversation","22","Recently Viewed","15","","","","https://www.tatielou.co.uk/products/burst-forest-place-mats","","","","","","225543","149","1.019","1","","8","3","2.500","113","38","18","11","","","","","41eaeff0e66299aae035fcf4d880533e","0.415","","","","","HTTP/1.1","https://www.tatielou.co.uk/collections/table-linen/products/burst-forest-place-mats"
"https://www.tatielou.co.uk/pages/how-much-wallpaper-do-you-need","text/html; charset=utf-8","200","OK","Indexable","","How much wallpaper do you need? – Tatie Lou","43","412","How to measure wall Measure Correctly Measure the width and height of each wall. Multiply the height and width together to get the total square footage. Add the square footage of each wall to get your total area. Subtract the square footage of openings like doors and windows. Account for Pattern Repeats Wallpaper with ","320","2020","","0","","0","How much wallpaper do you need?","31","","0","","0","","","","https://www.tatielou.co.uk/pages/how-much-wallpaper-do-you-need","","","","","","191440","201","1.294","1","","122","120","100.000","110","37","10","6","","","","","430344c52adf87a5d058ec7bcecab0b2","0.467","","","","","HTTP/1.1","https://www.tatielou.co.uk/pages/how-much-wallpaper-do-you-need"
"https://www.tatielou.co.uk/collections/art-prints","text/html; charset=utf-8","200","OK","Indexable","","Art Prints – Tatie Lou","22","187","Walls looking a little bare? Liven them up with a Tatie Lou art print!
We have lots of bold designs to choose from, with everything from hand drawn contemporary leaf illustrations, to psychedelic style prints available here on the site.
Your print comes well-wrapped and ready for you to frame and hang in a room of your choice. The hard part? Picking your favourite design.","374","2328","","0","","0","Art Prints","10","Passion Rose Art Print","22","Passion Green Art Print","23","","","","https://www.tatielou.co.uk/collections/art-prints","https://www.tatielou.co.uk/collections/art-prints?page=2","","","","","241647","182","1.014","1","","369","120","100.000","142","51","13","6","","","","","b1f36dce5c00fafc66a2502817fa3e29","0.491","","","","","HTTP/1.1","https://www.tatielou.co.uk/collections/art-prints"
"https://www.tatielou.co.uk/pages/contact-us","text/html; charset=utf-8","200","OK","Indexable","","Contact Us – Tatie Lou","22","202","Tatie Lou","9","60","","0","","0","Contact Us","10","Email us","8","","0","","","","https://www.tatielou.co.uk/pages/contact-us","","","","","","195137","48","0.857","1","","482","120","100.000","110","37","14","6","","","","","feadf3bb0a21e2093b4ed7c2e4a18a46","0.594","","","","","HTTP/1.1","https://www.tatielou.co.uk/pages/contact-us"
"https://www.tatielou.co.uk/collections/leopard","text/html; charset=utf-8","200","OK","Indexable","","Leopard – Tatie Lou","19","178","Take a walk on the Wildside with this gorgeous twist on the leopard print. 
Using a colour palette of apple, berry and peach to compliment our Pachamama Collection. 
This collection will work perfectly in a Maximalist room where colour and patten clash has no limits","266","1647","","0","","0","Leopard","7","Leopard Berry Wallpaper","23","Leopard Berry Wallpaper Sample","30","","","","https://www.tatielou.co.uk/collections/leopard","https://www.tatielou.co.uk/collections/leopard?page=2","","","","","243365","150","0.979","1","","369","120","100.000","141","50","13","6","","","","","73a0da15824648ad084171721fc97e0c","0.735","","","","","HTTP/1.1","https://www.tatielou.co.uk/collections/leopard"
